residuals = [-0.33535 ; 180.827, 0, -372.146, 2.38555, 0, 1.15915, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.485904, 0, 1, 0, -119.757, -28.6558, -56.4553, 732.833, -6.85685]
residuals = [-5.83178 ; -20.9895, 0, 0, 0, 2.38555, -0.134548, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0564011, 0, 1, 13.9007, 3.32621, 253.015, -56.4553, 0.795907]
residuals = [1.14548 ; 136.008, -45.3359, -372.146, 2.38555, 0, 0.871843, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.365468, 0, 1, 0, -51.4762, -7.03926, -42.4623, 415.998, -0.962604]
residuals = [-5.17999 ; -20.9895, 6.99649, 124.049, 0, 2.38555, -0.134548, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0564011, 0, 1, 7.94411, 1.08634, 147.403, -42.4623, 0.148555]
residuals = [2.07016 ; 91.1878, -60.7919, -372.146, 2.38555, 0, 0.584537, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.245032, 0, 1, 0, -15.9561, -1.00877, -28.4694, 188.802, -0.0637765]
residuals = [-6.42773 ; -20.9895, 13.993, 248.098, 0, 2.38555, -0.134548, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0564011, 0, 1, 3.67275, 0.232198, 71.6715, -28.4694, 0.01468]
residuals = [1.31429 ; 46.3681, -46.3681, -372.146, 2.38555, 0, 0.297231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.124596, 0, 1, 0, -2.40053, -0.0449028, -14.4764, 51.2464, -0.000839921]
residuals = [-6.55426 ; -20.9895, 20.9895, 372.146, 0, 2.38555, -0.134548, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0564011, 0, 1, 1.08665, 0.0203262, 25.8195, -14.4764, 0.000380208]
residuals = [0.556658 ; 1.54834, -2.06445, -372.146, 2.38555, 0, 0.00992526, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.00416057, 0, 1, 0, -0.0137064, -4.38383e-05, -0.483401, 3.33001, -1.40212e-07]
residuals = [-7.62286 ; -20.9895, 27.986, 496.195, 0, 2.38555, -0.134548, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0564011, 0, 1, 0.185805, 0.000594277, 9.84738, -0.483401, 1.90073e-06]
residuals = [-2.17845 ; -43.2714, 72.119, -372.146, 2.38555, 0, -0.277381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.116275, 0, 1, 0, 2.00017, 0.0334048, 13.5096, 45.0531, 0.000557894]
residuals = [-8.35736 ; -20.9895, 34.9825, 620.244, 0, 2.38555, -0.134548, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0564011, 0, 1, 0.970214, 0.0162035, 23.7551, 13.5096, 0.000270615]
residuals = [-3.88635 ; -88.0911, 176.182, -372.146, 2.38555, 0, -0.564687, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.236711, 0, 1, 0, 14.4369, 0.854854, 27.5026, 176.416, 0.0506186]
residuals = [-8.88147 ; -20.9895, 41.9789, 744.293, 0, 2.38555, -0.134548, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0564011, 0, 1, 3.43988, 0.203686, 67.5426, 27.5026, 0.0120609]
residuals = [-7.10522 ; -132.911, 310.125, -372.146, 2.38555, 0, -0.851993, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.357147, 0, 1, 0, 48.0923, 6.28733, 41.4955, 397.418, 0.821974]
residuals = [-9.46508 ; -20.9895, 48.9754, 868.342, 0, 2.38555, -0.134548, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0564011, 0, 1, 7.5948, 0.992905, 141.21, 41.4955, 0.129807]
residuals = [-9.57776 ; -177.731, 473.948, -372.146, 2.38555, 0, -1.1393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.477582, 0, 1, 0, 113.762, 26.3093, 55.4885, 708.059, 6.08445]
residuals = [-9.57775 ; -20.9895, 55.9719, 992.391, 0, 2.38555, -0.134548, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0564011, 0, 1, 13.435, 3.10705, 244.757, 55.4885, 0.718556]
